,Operation_sequences,Solution_sequence,True_solution_found,Genolve_time,Total_time
0,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[0, 0, 0, 0, 0, 0]",0,0.0026204586029052734,0.002976655960083008
1,"[[4, 0, 6], [0, 4, 6], [4, 0, 6], [0, 4, 6], [4, 6, 0], [4, 6, 0], [6, 4, 0], [0, 0, 4, 0], [4, 2, 3, 0], [0, 4, 3, 0], [4, 0, 0, 0], [0, 4, 0, 0], [0, 6, 4], [6, 0, 4], [0, 0, 0, 4], [0, 0, 0, 4], [0, 0, 0, 4], [4, 2, 0, 3], [0, 4, 0, 3], [4, 0, 2, 3], [0, 4, 2, 3], [0, 0, 4, 3], [0, 0, 4, 3], [4, 0, 0, 0], [0, 4, 0, 0], [4, 0, 0, 0], [0, 4, 0, 0], [0, 0, 4, 0], [0, 0, 4, 0]]","[1, 0, 0, 0, 4, 0]",0,0.0043487548828125,0.004737377166748047
2,"[[0, 1, 4, 3], [0, 1, 4, 3], [4, 0, 1, 3], [0, 4, 1, 3], [4, 0, 1, 3], [0, 4, 1, 3], [0, 1, 0, 4], [0, 1, 0, 4], [6, 1, 4], [0, 0, 1, 4], [6, 1, 4], [0, 0, 1, 4], [6, 4, 1], [0, 0, 4, 1], [4, 0, 3, 1], [0, 4, 3, 1], [4, 3, 3, 1], [6, 4, 1], [0, 0, 4, 1], [4, 0, 3, 1], [0, 4, 3, 1], [4, 3, 2, 1]]","[1, 1, 1, 0, 1, 4]",0,0.015478134155273438,0.015958547592163086
3,"[[4, 2, 1], [4, 2, 1]]","[1, 0, 4, 4, 0, 5]",0,0.0024595260620117188,0.002820730209350586
4,"[[1, 4, 0], [4, 1, 0], [1, 0, 4], [1, 0, 4], [0, 1, 4], [1, 4, 0], [4, 1, 0], [4, 0, 1], [0, 4, 1]]","[0, 0, 0, 1, 0, 4]",0,0.0054280757904052734,0.005808353424072266
5,"[[1, 0], [1, 0], [0, 1], [0, 1], [0, 1]]","[1, 0, 1, 0, 0, 1]",0,0.0023224353790283203,0.0030508041381835938
6,"[[0, 1, 4, 3], [0, 1, 4, 3], [4, 0, 1, 3], [0, 4, 1, 3], [4, 0, 1, 3], [0, 4, 1, 3], [0, 1, 0, 4], [0, 1, 0, 4], [0, 0, 1, 4], [0, 0, 1, 4], [0, 0, 1, 4], [0, 0, 1, 4], [4, 0, 3, 1], [0, 4, 3, 1], [4, 3, 0, 1], [0, 4, 0, 1], [0, 0, 4, 1], [0, 0, 4, 1], [4, 0, 3, 1], [0, 4, 3, 1], [4, 3, 0, 1], [0, 4, 0, 1], [0, 0, 4, 1], [0, 0, 4, 1]]","[0, 0, 1, 1, 1, 4]",0,0.01551961898803711,0.016382217407226562
7,"[[1, 0], [1, 0], [1, 0], [0, 1], [0, 1]]","[0, 0, 1, 1, 0, 1]",0,0.0022971630096435547,0.0030510425567626953
8,"[[0, 1, 4], [0, 1, 4], [4, 2, 1], [0, 4, 1], [4, 2, 1], [0, 4, 1]]","[0, 1, 1, 0, 1, 4]",0,0.004314899444580078,0.0050601959228515625
9,"[[1, 1, 0], [1, 1, 0], [1, 1, 0], [1, 0, 1], [0, 1, 1], [1, 0, 1], [0, 1, 1], [1, 0, 1], [0, 1, 1], [1, 0, 1], [0, 1, 1], [0, 1, 1]]","[0, 0, 0, 1, 0, 1]",0,0.010035514831542969,0.0104827880859375
