Chp_sq	Recomb	N	n	K	k	Probability
1	1	231	43	55	42	2.3209261169112634e-33
1	2	814	43	178	9	0.15025345376462695
1	3	317	43	96	9	0.052627010127939376
1	4	1532	43	366	12	0.11313542596313753
1	5	577	43	153	17	0.02002969611154457
1	6	271	43	72	14	0.09051872270541582
1	7	1091	43	298	13	0.12230003962828334
1	8	563	43	121	12	0.08273313219705862
1	9	440	43	128	12	0.13921440624379983
1	10	746	43	175	12	0.10927514401025144
1	11	667	43	178	15	0.0624130568575615
1	12	1079	43	196	11	0.06649188201442421
1	13	925	43	229	14	0.06624268354918347
1	14	785	43	178	11	0.12818469297211707
1	15	1092	43	266	7	0.06970756936808221
1	16	949	43	195	5	0.054523954011641125
2	1	231	171	55	10	3.3599671594878524e-25
2	2	814	171	178	171	5.457162375059638e-169
2	3	317	171	96	24	5.157890666095475e-12
2	4	1532	171	366	42	0.07336304047713141
2	5	577	171	153	29	0.00022075896974918475
2	6	271	171	72	19	8.783235908455676e-14
2	7	1091	171	298	45	0.07137700069726281
2	8	563	171	121	31	0.03977072860460811
2	9	440	171	128	28	9.41650051704815e-07
2	10	746	171	175	37	0.06786207430181909
2	11	667	171	178	42	0.062155870621825794
2	12	1079	171	196	42	0.005749243229232337
2	13	925	171	229	43	0.07714795281349636
2	14	785	171	178	41	0.07301914181039003
2	15	1092	171	266	40	0.07415346014934585
2	16	949	171	195	34	0.08162265782970995
3	1	231	25	55	1	0.0064838072299560415
3	2	814	25	178	7	0.13671039863675627
3	3	317	25	96	25	9.167425356295953e-15
3	4	1532	25	366	3	0.07645933824717518
3	5	577	25	153	11	0.025671429637412802
3	6	271	25	72	4	0.09275947993534459
3	7	1091	25	298	6	0.17299363502322257
3	8	563	25	121	9	0.04004690795545807
3	9	440	25	128	2	0.008094405868706488
3	10	746	25	175	4	0.13965730107373184
3	11	667	25	178	5	0.1454128200301509
3	12	1079	25	196	9	0.017051405589103234
3	13	925	25	229	11	0.016954257850643764
3	14	785	25	178	5	0.18843945754679509
3	15	1092	25	266	3	0.07033079178536734
3	16	949	25	195	4	0.18127868475554032
4	1	231	466	55	12	-1
4	2	814	466	178	55	6.805682110472101e-16
4	3	317	466	96	24	-1
4	4	1532	466	366	125	-1
4	5	577	466	153	46	1.8715076246037033e-73
4	6	271	466	72	21	-1
4	7	1091	466	298	92	-1
4	8	563	466	121	41	6.5324964882629395e-49
4	9	440	466	128	34	-1
4	10	746	466	175	51	6.415151217038354e-25
4	11	667	466	178	50	1.3410078211511336e-43
4	12	1079	466	196	59	-1
4	13	925	466	229	78	4.755890675196705e-09
4	14	785	466	178	58	1.420747765554332e-16
4	15	1092	466	266	88	-1
4	16	949	466	195	67	1.328945204374895e-06
5	1	231	135	55	24	0.0050424270541693265
5	2	814	135	178	25	0.05513894099057405
5	3	317	135	96	30	0.0025804547816880006
5	4	1532	135	366	29	0.06833204960236462
5	5	577	135	153	135	1.4001051745514303e-112
5	6	271	135	72	25	0.0012518292720156972
5	7	1091	135	298	32	0.05089932491999573
5	8	563	135	121	37	0.015508026250302608
5	9	440	135	128	29	0.0057160830205786215
5	10	746	135	175	33	0.0844902529116141
5	11	667	135	178	34	0.07968690606882768
5	12	1079	135	196	33	0.012815105359299816
5	13	925	135	229	37	0.06239739009993742
5	14	785	135	178	28	0.07724557852492903
5	15	1092	135	266	31	0.07985423264574976
5	16	949	135	195	33	0.042972309729662775
6	1	231	0	55	0	1.0
6	2	814	0	178	0	1.0
6	3	317	0	96	0	1.0
6	4	1532	0	366	0	1.0
6	5	577	0	153	0	1.0
6	6	271	0	72	0	1.0
6	7	1091	0	298	0	1.0
6	8	563	0	121	0	1.0
6	9	440	0	128	0	1.0
6	10	746	0	175	0	1.0
6	11	667	0	178	0	1.0
6	12	1079	0	196	0	1.0
6	13	925	0	229	0	1.0
6	14	785	0	178	0	1.0
6	15	1092	0	266	0	1.0
6	16	949	0	195	0	1.0
7	1	231	298	55	14	-1
7	2	814	298	178	46	0.00020450960321202546
7	3	317	298	96	20	-1
7	4	1532	298	366	73	-1
7	5	577	298	153	38	3.2583112408281742e-15
7	6	271	298	72	15	-1
7	7	1091	298	298	298	5.499681549495281e-277
7	8	563	298	121	34	3.2593289490417335e-10
7	9	440	298	128	36	3.5923975735115406e-29
7	10	746	298	175	46	7.388664759308779e-06
7	11	667	298	178	59	9.522979470787852e-05
7	12	1079	298	196	57	0.061194988056121516
7	13	925	298	229	73	0.06454920892840012
7	14	785	298	178	48	0.0001653048235041058
7	15	1092	298	266	77	0.048944572149336105
7	16	949	298	195	54	0.03195448133030988
8	1	231	121	55	15	1.230254376478781e-05
8	2	814	121	178	31	0.05145599667848255
8	3	317	121	96	29	0.01582392137345343
8	4	1532	121	366	28	0.08743311862918839
8	5	577	121	153	39	0.025544378065278105
8	6	271	121	72	21	0.000896085658009524
8	7	1091	121	298	34	0.08365631614062177
8	8	563	121	121	121	1.3986299175791858e-126
8	9	440	121	128	24	0.0027026119149308574
8	10	746	121	175	33	0.05078585809453809
8	11	667	121	178	36	0.062212387391347115
8	12	1079	121	196	32	0.0049873077727991275
8	13	925	121	229	31	0.0865773744039254
8	14	785	121	178	26	0.08996939061542455
8	15	1092	121	266	23	0.03189179343498442
8	16	949	121	195	20	0.050243202003238695
9	1	231	104	55	14	0.0004143908638334437
9	2	814	104	178	19	0.06696179582274439
9	3	317	104	96	22	0.004691525402258795
9	4	1532	104	366	24	0.09379329255298649
9	5	577	104	153	28	0.09666236980415828
9	6	271	104	72	15	0.0001490568326636334
9	7	1091	104	298	33	0.05114789439553963
9	8	563	104	121	20	0.0890766746837822
9	9	440	104	128	104	4.289126449073339e-78
9	10	746	104	175	32	0.016829487444412948
9	11	667	104	178	28	0.09555436723444961
9	12	1079	104	196	28	0.006311869641219886
9	13	925	104	229	23	0.07927984642869731
9	14	785	104	178	21	0.08348412996764673
9	15	1092	104	266	24	0.09216357005160869
9	16	949	104	195	19	0.08782755384550611
10	1	231	175	55	15	1.0649442584315478e-19
10	2	814	175	178	37	0.08007421802867737
10	3	317	175	96	24	5.927121449856782e-13
10	4	1532	175	366	34	0.02596930653952992
10	5	577	175	153	36	0.008244882639613595
10	6	271	175	72	18	6.123002912996714e-16
10	7	1091	175	298	46	0.07040212744890315
10	8	563	175	121	33	0.05336824741324595
10	9	440	175	128	39	0.0031996609910177887
10	10	746	175	175	175	9.343085171960282e-176
10	11	667	175	178	45	0.07536786888477237
10	12	1079	175	196	46	0.0010652310728362553
10	13	925	175	229	49	0.04142228695961651
10	14	785	175	178	34	0.04244556549179663
10	15	1092	175	266	43	0.07612650016860387
10	16	949	175	195	32	0.06052776261768915
11	1	231	154	55	16	4.072757442556301e-11
11	2	814	154	178	36	0.07468232627791237
11	3	317	154	96	24	1.4315361422001092e-08
11	4	1532	154	366	36	0.07883465149785433
11	5	577	154	153	38	0.07166020104872388
11	6	271	154	72	13	4.2577317270828085e-15
11	7	1091	154	298	50	0.023313823369885477
11	8	563	154	121	36	0.07217883463171247
11	9	440	154	128	35	0.008484152291794632
11	10	746	154	175	39	0.06924953052954681
11	11	667	154	178	154	2.659374901908843e-126
11	12	1079	154	196	37	0.011756889654305823
11	13	925	154	229	41	0.06736350366439565
11	14	785	154	178	34	0.08435148455992757
11	15	1092	154	266	31	0.03467240393923838
11	16	949	154	195	34	0.074566331362743
12	1	231	196	55	14	-1
12	2	814	196	178	45	0.07137234166806722
12	3	317	196	96	27	4.920910768402519e-16
12	4	1532	196	366	38	0.02069415762864687
12	5	577	196	153	38	0.0015436474028112615
12	6	271	196	72	21	3.048768584149759e-20
