Chromosome1: Chr1 (1-230218)
Chromosome, Start, End,   D, Name, 
Chromosome2: Chr2 (1-813184)
Chromosome, Start, End,  D, Name, gbkey, gene, gene_biotype, locus_tag
Chr2,67169,69445,gene-YBL084C,CDC27,Gene,CDC27,protein_coding,YBL084C
Chr2,117589,119166,gene-YBL054W,TOD6,Gene,TOD6,protein_coding,YBL054W
Chr2,127895,132040,gene-YBL047C,EDE1,Gene,EDE1,protein_coding,YBL047C
Chr2,142112,142868,gene-YBL040C,ERD2,Gene,ERD2,protein_coding,YBL040C
Chr2,216587,217129,gene-YBL006C,LDB7,Gene,LDB7,protein_coding,YBL006C
Chr2,217470,220400,gene-YBL005W,PDR3,Gene,PDR3,protein_coding,YBL005W
Chr2,248806,251016,gene-YBR007C,DSF2,Gene,DSF2,protein_coding,YBR007C
Chr2,296369,297742,gene-YBR029C,CDS1,Gene,CDS1,protein_coding,YBR029C
Chr2,301944,304703,gene-YBR033W,EDS1,Gene,EDS1,protein_coding,YBR033W
Chr2,306269,306955,gene-YBR035C,PDX3,Gene,PDX3,protein_coding,YBR035C
Chr2,321876,323945,gene-YBR043C,QDR3,Gene,QDR3,protein_coding,YBR043C
Chr2,383112,385988,gene-YBR073W,RDH54,Gene,RDH54,protein_coding,YBR073W
Chr2,450881,451969,gene-YBR105C,VID24,Gene,VID24,protein_coding,YBR105C
Chr2,452658,453224,gene-YBR106W,SND3,Gene,SND3,protein_coding,YBR106W
Chr2,457919,458362,gene-YBR109C,CMD1,Gene,CMD1,protein_coding,YBR109C
Chr2,467248,469620,gene-YBR114W,RAD16,Gene,RAD16,protein_coding,YBR114W
Chr2,479338,480323,gene-YBR119W,MUD1,Gene,MUD1,protein_coding,YBR119W
Chr2,533762,534817,gene-YBR145W,ADH5,Gene,ADH5,protein_coding,YBR145W
Chr2,545028,545978,gene-YBR151W,APD1,Gene,APD1,protein_coding,YBR151W
Chr2,560078,560974,gene-YBR160W,CDC28,Gene,CDC28,protein_coding,YBR160W
Chr2,582408,583355,gene-YBR175W,SWD3,Gene,SWD3,protein_coding,YBR175W
Chr2,589741,591459,gene-YBR180W,DTR1,Gene,DTR1,protein_coding,YBR180W
Chr2,602634,603476,gene-YBR187W,GDT1,Gene,GDT1,protein_coding,YBR187W
Chr2,609082,609753,gene-YBR193C,MED8,Gene,MED8,protein_coding,YBR193C
Chr2,623576,624211,gene-YBR201W,DER1,Gene,DER1,protein_coding,YBR201W
Chr2,632254,633381,gene-YBR204C,LDH1,Gene,LDH1,protein_coding,YBR204C
Chr2,636703,642210,gene-YBR208C,DUR12,Gene,DUR12,protein_coding,YBR208C
Chr2,651415,652998,gene-YBR214W,SDS24,Gene,SDS24,protein_coding,YBR214W
Chr2,665153,666253,gene-YBR221C,PDB1,Gene,PDB1,protein_coding,YBR221C
Chr2,668663,670297,gene-YBR223C,TDP1,Gene,TDP1,protein_coding,YBR223C
Chr2,684977,685261,gene-YBR233W-A,DAD3,Gene,DAD3,protein_coding,YBR233W-A
Chr2,690383,691693,gene-YBR236C,ABD1,Gene,ABD1,protein_coding,YBR236C
Chr2,722611,723054,gene-YBR252W,DUT1,Gene,DUT1,protein_coding,YBR252W
Chr2,732639,734639,gene-YBR260C,RGD1,Gene,RGD1,protein_coding,YBR260C
Chr2,742160,742576,gene-YBR269C,SDH8,Gene,SDH8,protein_coding,YBR269C
Chr2,760294,760899,gene-YBR278W,DPB3,Gene,DPB3,protein_coding,YBR278W
Chr2,764970,767606,gene-YBR281C,DUG2,Gene,DUG2,protein_coding,YBR281C
Chr2,782591,783556,gene-YBR290W,BSD2,Gene,BSD2,protein_coding,YBR290W
Chromosome3: Chr3 (1-316620)
Chromosome, Start, End,  D, Name, gbkey, gene, gene_biotype, locus_tag
Chr3,23584,23925,gene-YCL058W-A,ADF1,Gene,ADF1,protein_coding,YCL058W-A
Chr3,24768,26906,gene-YCL057W,PRD1,Gene,PRD1,protein_coding,YCL057W
Chr3,30910,30996,gene-YCL054W-A,RDT1,Gene,RDT1,protein_coding,YCL054W-A
Chr3,48653,50221,gene-YCL043C,PDI1,Gene,PDI1,protein_coding,YCL043C
Chr3,52645,54882,gene-YCL039W,GID7,Gene,GID7,protein_coding,YCL039W
Chr3,59026,60726,gene-YCL036W,GFD2,Gene,GFD2,protein_coding,YCL036W
